area,predicted_iou,point_coords,index,scale (um/px),perimeter(um),area(um),circularity,centroid_x,centroid_y,droplet,x,y,w,h
4806,0.9850131273269653,"[1057.5, 928.125]",205,6.0755,42.38694095383965,130.20261780002943,1.0980814869554203,1033,914,True,992,878,80,76
4652,0.9848794341087341,"[112.5, 961.875]",206,6.0755,41.552265802339,126.03049896082749,1.0901942851839905,145,970,True,106,935,79,73
5131,0.9846993088722229,"[337.5, 860.625]",207,6.0755,43.87999775870603,139.00741405159195,1.1022633441665577,304,864,True,265,823,80,82
3982,0.9842215776443481,"[652.5, 793.125]",209,6.0755,38.822319976352055,107.87907284222163,1.1117724302722034,619,811,True,584,775,72,72
4619,0.9832807183265686,"[1147.5, 860.625]",210,6.0755,41.76164438632102,125.1364734952842,1.1090762515806414,1106,851,True,1068,816,78,72
4075,0.9832572340965271,"[247.5, 793.125]",211,6.0755,38.958675389858485,110.39859915420722,1.0940443757438267,277,776,True,241,741,72,73
4350,0.98294597864151,"[382.5, 894.375]",213,6.0755,40.3553145322846,117.84881136706784,1.0996801924991677,389,873,True,351,836,76,75
4323,0.9828990697860718,"[967.5, 894.375]",215,6.0755,40.45173227321012,117.1173359861688,1.111842316837084,962,871,True,926,833,74,77
4379,0.9828813076019287,"[697.5, 826.875]",216,6.0755,40.79746601562148,118.63447010951495,1.1164663030943338,703,812,True,667,775,74,76
4017,0.9828548431396484,"[922.5, 961.875]",217,6.0755,38.78238242149902,108.82728166931298,1.0998192672725584,913,928,True,878,893,73,70
4491,0.9824391007423401,"[112.5, 826.875]",218,6.0755,41.18313735212851,121.66873835620727,1.1093024902959734,143,810,True,105,774,77,73
4158,0.9817324280738831,"[292.5, 658.125]",219,6.0755,39.504096985020254,112.64720865845243,1.1024375036298621,298,630,True,261,592,73,76
4504,0.9807683825492859,"[112.5, 658.125]",220,6.0755,41.20653219727683,122.02093020626977,1.1073577236732695,105,620,True,67,582,78,75
4250,0.9791273474693298,"[157.5, 590.625]",222,6.0755,40.04266620928266,115.13964328966398,1.108182353320211,158,564,True,120,529,75,73
4096,0.9753773212432861,"[67.5, 421.875]",226,6.0755,40.39525214600157,110.96752445046204,1.1701859653105713,72,386,False,35,352,78,74
2434,0.9544335007667542,"[877.5, 691.875]",233,6.0755,32.90657237394093,65.94115100400991,1.3067692533465722,866,681,False,838,652,62,56
