area,predicted_iou,point_coords,scale (um/px),index,Red,Green,Blue,perimeter(um),area(um),circularity,centroid_x,centroid_y,droplet,x,y,w,h
4460,0.9796444773674011,"[652.5, 1029.375]",6.0755,90,136.76348124597723,104.62777058542046,66.93475536656561,40.814008764568825,120.82889625221208,1.0970788294770237,685,1020,True,648,982,71,77
4385,0.9858234524726868,"[697.5, 556.875]",6.0755,91,68.53387810375591,85.21444256304383,71.78559693896871,40.541298035662535,118.79702019415919,1.1009811615219471,673,580,True,637,543,70,76
4435,0.9777429103851318,"[697.5, 793.125]",6.0755,92,241.00566932281225,146.1219102561813,128.14226474514047,40.89388379578963,120.15160423286112,1.107585545413544,702,812,True,665,774,74,76
4764,0.981864333152771,"[697.5, 860.625]",6.0755,93,128.67967622256373,14.339015956662488,79.05303749112973,42.26712801458218,129.0647672075198,1.101508650027782,671,888,True,635,850,75,78
5508,0.9857231378555298,"[742.5, 151.875]",6.0755,94,65.86989475527743,13.1188809270952,253.26877999916564,45.589285184891466,149.22097770340451,1.1083727001080286,744,111,True,701,69,85,86
5437,0.9882590770721436,"[742.5, 185.625]",6.0755,95,145.04856755661913,78.42325198972976,3.5420303985454287,45.37305489713474,147.29746836844777,1.1122204976092867,776,195,True,734,154,84,84
4073,0.9838749170303345,"[742.5, 253.125]",6.0755,96,14.362798188068433,51.443111312506254,252.2588593467468,39.168053718763424,110.34441579265915,1.106378581981939,710,246,True,677,210,71,72
3891,0.982864499092102,"[742.5, 286.875]",6.0755,97,55.818329647103624,164.05480486973616,66.77279807600677,38.56615185904391,105.41372989178413,1.1228081842694446,734,317,True,700,282,70,70
5767,0.9865684509277344,"[742.5, 388.125]",6.0755,98,191.48808420755768,7.001087714655562,127.37115256480833,46.3771706657168,156.2377230238805,1.0955008910528714,709,398,True,669,355,83,86
4269,0.9810923337936401,"[742.5, 455.625]",6.0755,99,70.0226881225818,16.37597709003319,7.237183238749528,39.922853525102255,115.65438522437071,1.0966579272039754,731,493,True,699,455,69,76
6008,0.9850520491600037,"[742.5, 691.875]",6.0755,100,142.7160877590939,154.52185826000076,232.8925428958997,47.990040233248834,162.7668180904238,1.125969146982945,717,660,True,674,615,86,92
4201,0.9797095656394958,"[742.5, 759.375]",6.0755,101,16.71706613497803,117.22390894418521,99.09867966588415,39.55372497678519,113.81215093173608,1.0938966285912404,773,774,True,737,739,72,71
5251,0.9784889221191406,"[742.5, 961.875]",6.0755,102,4.419988170304242,47.046555779554886,4.972119234404725,44.51498488086446,142.2584157444766,1.1084717478211112,737,941,True,697,901,80,81
6124,0.9806413650512695,"[742.5, 995.625]",6.0755,103,135.84401750176244,1.2278852421518955,137.87152393018405,48.70490242587069,165.9094530602123,1.1377958872630738,769,1025,True,727,980,87,92
4752,0.9786345958709717,"[787.5, 84.375]",6.0755,104,32.05645582949989,158.98375553732438,234.5769766329193,42.330460669660596,128.73966703823135,1.107602032435293,811,57,True,771,20,79,78
4099,0.9844685196876526,"[787.5, 253.125]",6.0755,105,208.39070904358763,117.98893183834926,188.2342375519369,38.83886272529939,111.04879949278414,1.0809591374126661,803,275,True,767,240,72,70
4460,0.9816265106201172,"[787.5, 354.375]",6.0755,106,80.92256192350315,85.36265345396755,154.95625441957654,41.00684438376905,120.82889625221208,1.1074701463394483,802,355,True,763,319,76,72
4383,0.9824811220169067,"[787.5, 421.875]",6.0755,107,223.5543682899277,49.51896384310215,73.3643267754551,40.66111068060031,118.7428368326111,1.1080036489451186,789,433,True,751,396,74,75
5019,0.9826377034187317,"[787.5, 556.875]",6.0755,108,127.97444315543075,148.60024944300383,145.55396349971096,43.7436424825488,135.97314580489964,1.1198681097583048,756,577,True,719,536,78,83
4863,0.9842028617858887,"[787.5, 658.125]",6.0755,109,17.130318148607582,99.35027499659704,0.032399478738295295,42.619713912058465,131.74684360414963,1.0971625548692288,796,695,True,756,657,81,76
5770,0.9854147434234619,"[787.5, 826.875]",6.0755,110,0.26602467823800047,28.23669204073899,50.64636771193217,46.57685843998194,156.31899806620262,1.1043805724020537,775,859,True,729,819,90,84
4810,0.9848875999450684,"[832.5, 489.375]",6.0755,111,250.13575887273265,38.07635705959976,201.97878865664103,42.466816200894904,130.31098452312557,1.1013072926466687,812,512,True,775,471,75,83
5210,0.9793798923492432,"[832.5, 590.625]",6.0755,112,88.08473703997136,104.94758680493564,22.186358257749966,44.49844240661551,141.147656832741,1.1163646656713524,830,616,True,791,573,77,86
6155,0.986669659614563,"[832.5, 759.375]",6.0755,113,163.93512339040493,152.37501586384283,40.5297226555699,48.37571143240666,166.74929516420747,1.1168140246714504,859,757,True,817,712,87,91
5833,0.9799704551696777,"[832.5, 894.375]",6.0755,114,255.0,127.5,255.0,46.62648647098951,158.02577395496704,1.0947818555569486,828,935,True,789,891,80,88
